Breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
estrela_mountain_dog,"Alert, Intelligent, Brave",,62.23,73.66,34.92661249,59.87419284,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,,,,
eurasier,"Confident, Calm, Family-Oriented",,48.26,60.96,18.1436948,31.7514659,12.0,16.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
field_spaniel,"Sweet, Fun-Loving, Sensitive",149,43.18,45.72,15.87573295,22.6796185,12.0,13.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
finnish_lapphund,"Friendly, Alert, Agile",161,40.64,53.34,14.96854821,24.04039561,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
finnish_spitz,"Friendly, Good-Natured, Lively",184,39.37,50.8,9.0718474,14.96854821,13.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly
flat-coated_retriever,"Cheerful, Optimistic, Good-Humored",91,55.88,62.23,27.2155422,31.7514659,8.0,10.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly
french_bulldog,"Adaptable, Playful, Smart",4,27.94,33.02,12.70058636,12.70058636,10.0,12.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.4,Calm,0.6,Agreeable,0.6,Alert/Responsive
french_spaniel,"Gentle, Sociable, Intelligent",,54.61,60.96,22.6796185,27.2155422,10.0,12.0,Foundation Stock Service,,,,,,,,,,
german_longhaired_pointer,"Versatile, Calm, Family-Oriented",,55.88,71.12,24.94758035,36.2873896,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,,,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
german_pinscher,"Courageous, Intelligent, Vivacious",134,43.18,50.8,11.33980925,20.41165665,12.0,14.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive
german_shepherd,"Confident, Courageous, Smart",2,55.88,66.04,22.6796185,40.8233133,7.0,10.0,Herding Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
german_short-haired_pointer,"Friendly, Smart, Willing to Please",9,53.34,63.5,20.41165665,31.7514659,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly
german_spitz,"Devoted, Lively, Attentive",,30.48,38.1,10.88621688,11.79340162,13.0,15.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
german_wirehaired_pointer,"Affectionate, Eager, Enthusiastic",63,55.88,66.04,22.6796185,31.7514659,14.0,16.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
giant_schnauzer,"Loyal, Alert, Trainable",78,59.69,69.85,24.94758035,38.55535145,12.0,15.0,Working Group,0.8,Daily Brushing,,,1.0,Needs Lots of Activity,0.8,Easy Training,0.6,Alert/Responsive
glen_of_imaal_terrier,"Gentle, Spirited, Bold",174,31.75,35.56,14.51495584,18.1436948,10.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
golden_retriever,"Friendly, Intelligent, Devoted",3,54.61,60.96,24.94758035,34.01942775,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly
gordon_setter,"Affectionate, Confident, Bold",115,58.42,68.58,20.41165665,36.2873896,12.0,13.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
grand_basset_griffon_vendéen,"Independent, Happy, Outgoing",177,39.37,45.72,18.1436948,20.41165665,13.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.4,Independent,0.8,Friendly
great_dane,"Friendly, Patient, Dependable",16,71.12,81.28,49.8951607,79.37866475,7.0,10.0,Working Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
great_pyrenees,"Smart, Patient, Calm",66,63.5,81.28,38.55535145,45.359237,10.0,12.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
